benchmark,approach,time,horizon,atoms
benchmark-5,random-moves-dynamic-time,0.1916639804840088,11,5737
benchmark-6,random-moves-dynamic-time,0.157135009765625,9,4253
benchmark-42,random-moves-dynamic-time,0.2286977767944336,10,4058
benchmark-51,random-moves-dynamic-time,0.2722337245941162,21,4266
benchmark-57,random-moves-dynamic-time,0.01100921630859375,3,344
benchmark-58,random-moves-dynamic-time,0.0030028820037841797,1,80
benchmark-59,random-moves-dynamic-time,0.02552199363708496,6,658
benchmark-60,random-moves-dynamic-time,0.1616373062133789,9,4336
benchmark-61,random-moves-dynamic-time,0.03603196144104004,7,847
benchmark-62,random-moves-dynamic-time,0.2407081127166748,19,3137
benchmark-63,random-moves-dynamic-time,0.07306337356567383,9,1885
benchmark-64,random-moves-dynamic-time,0.11309814453125,15,1737
benchmark-65,random-moves-dynamic-time,-1,-1,-1
benchmark-66,random-moves-dynamic-time,0.014012336730957031,4,335
benchmark-67,random-moves-dynamic-time,-1,-1,-1
benchmark-68,random-moves-dynamic-time,-1,-1,-1
benchmark-70,random-moves-dynamic-time,0.019016265869140625,6,109
benchmark-71,random-moves-dynamic-time,0.0170137882232666,4,482
benchmark-72,random-moves-dynamic-time,0.0295257568359375,6,924
benchmark-5,TS_JB_HW_merger,0.13661766052246094,13,4050
benchmark-6,TS_JB_HW_merger,0.6990995407104492,12,7588
benchmark-42,TS_JB_HW_merger,0.07106137275695801,11,2329
benchmark-51,TS_JB_HW_merger,0.47791028022766113,23,11936
benchmark-57,TS_JB_HW_merger,0.021018266677856445,5,581
benchmark-58,TS_JB_HW_merger,0.01301121711730957,3,628
benchmark-59,TS_JB_HW_merger,0.04053449630737305,8,1089
benchmark-60,TS_JB_HW_merger,0.16769027709960938,11,6013
benchmark-61,TS_JB_HW_merger,-1,-1,-1
benchmark-62,TS_JB_HW_merger,-1,-1,-1
benchmark-63,TS_JB_HW_merger,0.07506394386291504,11,2319
benchmark-64,TS_JB_HW_merger,0.2682301998138428,15,2950
benchmark-65,TS_JB_HW_merger,0.0785679817199707,7,2039
benchmark-66,TS_JB_HW_merger,0.019016504287719727,5,467
benchmark-67,TS_JB_HW_merger,62.139363050460815,29,152408
benchmark-68,TS_JB_HW_merger,102.61061978340149,62,342571
benchmark-70,TS_JB_HW_merger,0.017014026641845703,5,239
benchmark-71,TS_JB_HW_merger,0.027523279190063477,6,763
benchmark-72,TS_JB_HW_merger,0.09858345985412598,8,2422
benchmark-5,AS_merger,-1,-1,-1
benchmark-6,AS_merger,18.215629816055298,10,156165
benchmark-42,AS_merger,306.5550434589386,10,300131
benchmark-51,AS_merger,-1,-1,-1
benchmark-57,AS_merger,0.8827571868896484,5,20072
benchmark-58,AS_merger,-1,-1,-1
benchmark-59,AS_merger,4.1420557498931885,14,28638
benchmark-60,AS_merger,-1,-1,-1
benchmark-61,AS_merger,-1,-1,-1
benchmark-62,AS_merger,-1,-1,-1
benchmark-63,AS_merger,10.574074506759644,9,62244
benchmark-64,AS_merger,4.545902967453003,15,33444
benchmark-65,AS_merger,6.912009239196777,7,43117
benchmark-66,AS_merger,0.8257083892822266,4,20708
benchmark-67,AS_merger,-1,-1,-1
benchmark-68,AS_merger,-1,-1,-1
benchmark-70,AS_merger,0.015513420104980469,5,241
benchmark-71,AS_merger,0.27823901176452637,4,17486
benchmark-72,AS_merger,5.2955451011657715,8,38263
benchmark-5,MF_MW_merger,871.510812997818,17,63257
benchmark-6,MF_MW_merger,-1,-1,-1
benchmark-42,MF_MW_merger,1227.3051047325134,10,35128
benchmark-51,MF_MW_merger,-1,-1,-1
benchmark-57,MF_MW_merger,0.543466329574585,5,2083
benchmark-58,MF_MW_merger,0.28324365615844727,3,2746
benchmark-59,MF_MW_merger,6.280890226364136,14,8968
benchmark-60,MF_MW_merger,-1,-1,-1
benchmark-61,MF_MW_merger,-1,-1,-1
benchmark-62,MF_MW_merger,-1,-1,-1
benchmark-63,MF_MW_merger,35.96235728263855,10,10713
benchmark-64,MF_MW_merger,17.36439824104309,16,10856
benchmark-65,MF_MW_merger,42.59505033493042,11,22151
benchmark-66,MF_MW_merger,0.15012788772583008,4,1957
benchmark-67,MF_MW_merger,-1,-1,-1
benchmark-68,MF_MW_merger,-1,-1,-1
benchmark-70,MF_MW_merger,0.22519350051879883,5,1597
benchmark-71,MF_MW_merger,0.12060403823852539,4,1326
benchmark-72,MF_MW_merger,8.407716035842896,9,12651